Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Non-Profit,2019,2019-04-18,Investment,Charitable Contributions,OH,140687.28,27473.71,113213.57,0.11631367235967516,13168.29
Individual,2021,2021-09-01,Business Income,Business Expenses,OH,632903.08,97449.77,535453.3099999999,0.29794075164586553,159533.36
Partnership,2023,2023-03-10,Capital Gains,Business Expenses,NC,111803.67,31984.13,79819.54,0.1689922045814343,13488.88
Partnership,2019,2019-12-06,Capital Gains,Mortgage Interest,TX,233732.51,31849.62,201882.89,0.12101066422383547,24429.98
Individual,2022,2022-11-16,Business Income,Medical Expenses,IL,948870.65,105690.75,843179.9,0.28591669448899204,241079.21
Non-Profit,2021,2021-03-24,Investment,Mortgage Interest,CA,771290.54,153909.94,617380.6000000001,0.18830052122619423,116253.09
Individual,2021,2021-02-20,Rental,Education Expenses,OH,923579.2,194789.6,728789.6,0.3546337186252816,258453.37
Trust,2020,2020-06-14,Salary,Mortgage Interest,NC,444372.78,1780.03,442592.75,0.26404820895081565,116865.82
Trust,2021,2021-12-01,Investment,Charitable Contributions,PA,146721.77,20938.53,125783.23999999999,0.24620725483675718,30968.75
Partnership,2020,2020-12-01,Capital Gains,Education Expenses,TX,993800.2,103982.36,889817.84,0.12230563553548374,108829.74
Non-Profit,2021,2021-03-25,Investment,Business Expenses,TX,746557.15,31430.44,715126.7100000001,0.3082534526958378,220440.28
Trust,2023,2023-09-02,Royalties,Charitable Contributions,FL,60081.57,1648.68,58432.89,0.32310581544101136,18880.01
Individual,2021,2021-03-15,Royalties,Education Expenses,IL,992472.11,100652.16,891819.95,0.19175999734597365,171015.39
Non-Profit,2022,2022-05-17,Rental,Medical Expenses,OH,290760.46,11117.56,279642.9,0.13196195219193563,36902.22
Non-Profit,2021,2021-12-25,Capital Gains,Education Expenses,NC,794785.07,221659.07,573126.0,0.3655458887413585,209503.85
Corporation,2023,2023-11-02,Investment,Business Expenses,NY,591874.33,49835.16,542039.1699999999,0.272401382145072,147652.22
Individual,2022,2022-05-14,Salary,Charitable Contributions,NC,594433.14,88268.61,506164.53,0.14766879150450213,74744.7
Non-Profit,2023,2023-03-26,Capital Gains,Charitable Contributions,NC,244169.67,6672.71,237496.96000000002,0.32652328238418526,77548.29
Partnership,2020,2020-10-11,Rental,Mortgage Interest,NY,202407.94,13817.8,188590.14,0.3489024588729301,65799.56
Trust,2020,2020-10-23,Investment,Charitable Contributions,FL,93792.43,22158.04,71634.38999999998,0.17237410222677013,12347.91
Individual,2022,2022-12-01,Investment,Mortgage Interest,TX,587107.28,145767.14,441340.14,0.3396480775593391,149900.33
Non-Profit,2022,2022-07-08,Royalties,Medical Expenses,OH,710122.01,171231.28,538890.73,0.15300882904049673,82455.04
Corporation,2022,2022-11-15,Capital Gains,Medical Expenses,OH,158991.94,16177.9,142814.04,0.3027284749567385,43233.88
Trust,2021,2021-08-12,Investment,Mortgage Interest,FL,956142.31,64709.46,891432.8500000001,0.32170006140421015,286774.0
Corporation,2020,2020-12-05,Rental,Business Expenses,NY,212619.47,33749.9,178869.57,0.25703103674592453,45975.03
Corporation,2020,2020-01-14,Rental,Education Expenses,FL,959908.52,99207.08,860701.4400000001,0.34117229729976545,293647.49
Corporation,2021,2021-11-21,Investment,Education Expenses,PA,860599.71,120606.27,739993.44,0.30134519487362343,222993.47
Partnership,2023,2023-03-26,Rental,Education Expenses,FL,816042.04,97391.94,718650.1000000001,0.23904899661194667,171792.59
Trust,2023,2023-08-21,Business Income,Education Expenses,IL,952470.35,190451.08,762019.27,0.30617183781765633,233308.84
Partnership,2023,2023-09-30,Salary,Business Expenses,NY,94093.37,16884.11,77209.26,0.34128642424719924,26350.47
Individual,2022,2022-08-31,Rental,Mortgage Interest,CA,152290.61,527.56,151763.05,0.19872344853829493,30158.88
Non-Profit,2021,2021-01-17,Capital Gains,Business Expenses,PA,937114.48,82676.91,854437.57,0.16673856637535825,142467.7
Trust,2022,2022-09-16,Royalties,Charitable Contributions,GA,722542.42,89809.11,632733.31,0.20822321844898284,131749.77
Trust,2022,2022-09-12,Salary,Charitable Contributions,NC,935268.17,149689.37,785578.8,0.22163455788203115,174111.41
Non-Profit,2020,2020-04-24,Salary,Medical Expenses,NY,233581.02,48499.38,185081.63999999998,0.16732728325598595,30969.21
Partnership,2019,2019-08-30,Capital Gains,Medical Expenses,CA,595580.67,44661.37,550919.3,0.36451999703103743,200821.1
Corporation,2019,2019-01-06,Royalties,Mortgage Interest,CA,195829.29,47566.5,148262.79,0.32952813850439455,48856.76
Partnership,2022,2022-03-27,Investment,Business Expenses,FL,953816.89,191000.1,762816.79,0.36925199346990345,281671.62
Partnership,2020,2020-09-27,Capital Gains,Mortgage Interest,FL,896131.99,4764.54,891367.45,0.2890992063224629,257693.62
Partnership,2022,2022-07-08,Capital Gains,Mortgage Interest,TX,194835.74,51485.89,143349.84999999998,0.3573711227706611,51229.1
Individual,2023,2023-05-19,Business Income,Medical Expenses,TX,666792.09,107413.91,559378.1799999999,0.36787135458674214,205779.21
Corporation,2019,2019-07-21,Rental,Medical Expenses,TX,157489.56,37551.45,119938.11,0.3036552858838254,36419.84
Partnership,2022,2022-07-02,Business Income,Medical Expenses,NY,738669.39,54030.68,684638.71,0.17055793147250164,116770.56
Corporation,2021,2021-08-20,Rental,Medical Expenses,GA,654397.62,165147.28,489250.33999999997,0.25776220152436924,126110.24
Non-Profit,2019,2019-11-03,Business Income,Business Expenses,MI,420182.2,77201.41,342980.79000000004,0.135886529899919,46606.47
Partnership,2019,2019-06-13,Capital Gains,Mortgage Interest,NC,332540.91,38731.26,293809.64999999997,0.1419021288670615,41692.21
Individual,2019,2019-09-26,Salary,Charitable Contributions,MI,745529.22,132526.24,613002.98,0.3647485035183,223591.92
Individual,2020,2020-05-18,Salary,Education Expenses,CA,743514.59,127332.41,616182.1799999999,0.15198221565474573,93648.73
Corporation,2020,2020-05-19,Capital Gains,Education Expenses,PA,200334.36,47842.3,152492.06,0.2558028560038451,39007.9
Partnership,2022,2022-02-15,Royalties,Business Expenses,PA,437440.06,44928.9,392511.16,0.18468283727438808,72490.07
Non-Profit,2021,2021-09-29,Salary,Charitable Contributions,TX,707322.21,86092.89,621229.32,0.3271881577563564,203258.88
Partnership,2020,2020-11-11,Salary,Mortgage Interest,NY,179601.08,37705.64,141895.44,0.15203633913831996,21573.26
Partnership,2020,2020-09-04,Business Income,Medical Expenses,IL,291559.52,83907.41,207652.11000000002,0.2968679939008469,61645.27
Trust,2023,2023-10-20,Investment,Charitable Contributions,GA,637502.84,61413.4,576089.44,0.3326008449823681,191607.83
Corporation,2022,2022-05-21,Salary,Mortgage Interest,PA,185196.52,43088.53,142107.99,0.34728877643902917,49352.51
Corporation,2020,2020-07-24,Salary,Medical Expenses,GA,318234.16,20019.06,298215.1,0.34406246367926707,102604.62
Corporation,2021,2021-11-04,Rental,Education Expenses,FL,739764.54,31411.1,708353.4400000001,0.12599797477116872,89251.1
Individual,2022,2022-07-16,Investment,Education Expenses,NY,169758.95,21213.51,148545.44,0.3638432065449122,54047.25
Non-Profit,2020,2020-01-02,Capital Gains,Mortgage Interest,MI,729166.8,113053.55,616113.25,0.21059404445096336,129749.78
Corporation,2019,2019-10-05,Rental,Business Expenses,MI,917483.21,30803.25,886679.96,0.3376310671016234,299370.7
Partnership,2022,2022-09-19,Business Income,Charitable Contributions,NC,136507.86,8096.59,128411.26999999999,0.2948282302590908,37859.27
Individual,2023,2023-01-06,Capital Gains,Business Expenses,CA,375473.83,107986.34,267487.49,0.32304411346883555,86410.26
Individual,2022,2022-05-11,Investment,Mortgage Interest,IL,860656.33,104892.93,755763.3999999999,0.2721959566858131,205715.74
Corporation,2022,2022-09-20,Investment,Charitable Contributions,NY,213295.1,50423.22,162871.88,0.1760972511574109,28681.29
Individual,2020,2020-10-06,Capital Gains,Mortgage Interest,GA,919332.25,133372.96,785959.29,0.20248013513657265,159141.14
Corporation,2021,2021-01-14,Salary,Business Expenses,GA,71490.69,14268.11,57222.58,0.16336999938425478,9348.45
Non-Profit,2020,2020-04-26,Capital Gains,Mortgage Interest,NC,569566.33,67849.38,501716.94999999995,0.16455285323608926,82558.96
Trust,2022,2022-03-19,Business Income,Medical Expenses,GA,590366.64,48644.67,541721.97,0.2180285674102023,118110.87
Individual,2019,2019-03-24,Rental,Charitable Contributions,NY,916201.43,232560.18,683641.25,0.14411001335804952,98519.55
Corporation,2019,2019-04-23,Business Income,Education Expenses,NY,838092.68,104577.96,733514.7200000001,0.10448223747115375,76639.26
Non-Profit,2021,2021-12-08,Salary,Education Expenses,IL,611271.54,13089.75,598181.79,0.13713938887468735,82034.29
Individual,2023,2023-04-23,Investment,Mortgage Interest,TX,366513.72,6304.61,360209.11,0.2142965430794925,77191.57
Trust,2021,2021-06-26,Salary,Mortgage Interest,IL,741622.11,52199.68,689422.4299999999,0.20466588289431803,141101.25
Individual,2022,2022-12-25,Royalties,Charitable Contributions,CA,904560.8,176546.21,728014.5900000001,0.2035547765029741,148190.85
Individual,2020,2020-09-14,Capital Gains,Business Expenses,MI,820688.66,9094.72,811593.9400000001,0.3561949242062492,289085.64
Non-Profit,2023,2023-05-30,Business Income,Mortgage Interest,FL,856807.14,100646.51,756160.63,0.18591458490679116,140581.29
Partnership,2022,2022-01-12,Business Income,Mortgage Interest,MI,909190.16,98608.39,810581.77,0.2605860758474242,211226.32
Corporation,2020,2020-04-26,Investment,Business Expenses,NY,477845.08,116956.42,360888.66000000003,0.16874534763703158,60898.28
Non-Profit,2023,2023-09-13,Rental,Mortgage Interest,CA,80415.47,23802.07,56613.4,0.1198051728553159,6782.58
Individual,2020,2020-04-27,Royalties,Charitable Contributions,IL,467142.6,8700.75,458441.85,0.23363899788224027,107109.89
Non-Profit,2021,2021-07-06,Investment,Education Expenses,MI,295508.55,69478.9,226029.65,0.3558248360509284,80426.96
Partnership,2022,2022-12-08,Salary,Business Expenses,OH,466013.53,20762.49,445251.04000000004,0.2635594998413463,117350.14
Trust,2022,2022-06-10,Investment,Medical Expenses,NY,785066.16,129004.17,656061.99,0.2838528744790654,186225.08
Individual,2019,2019-12-03,Investment,Business Expenses,TX,109683.99,21510.8,88173.19,0.31305595665311203,27603.14
Trust,2021,2021-01-23,Investment,Medical Expenses,CA,647116.95,171155.53,475961.4199999999,0.31799849430723476,151355.01
Corporation,2020,2020-01-05,Salary,Medical Expenses,FL,354509.51,47754.33,306755.18,0.24981405070493096,76631.75
Trust,2021,2021-02-25,Royalties,Charitable Contributions,FL,869422.02,252168.68,617253.3400000001,0.15903606271733944,98165.54
Individual,2020,2020-10-07,Investment,Business Expenses,NC,32820.88,8776.55,24044.329999999998,0.14649822449956212,3522.45
Corporation,2021,2021-10-18,Salary,Education Expenses,TX,807751.22,84325.76,723425.46,0.31016016749906206,224377.76
Trust,2022,2022-03-02,Rental,Charitable Contributions,TX,140016.97,24572.15,115444.82,0.11194673956210052,12923.67
Corporation,2023,2023-08-11,Rental,Charitable Contributions,CA,390007.46,46083.25,343924.21,0.3575820634396174,122981.13
Corporation,2019,2019-01-24,Business Income,Education Expenses,TX,57238.88,17005.4,40233.479999999996,0.2454899015966945,9876.91
Trust,2023,2023-06-03,Business Income,Business Expenses,TX,313657.09,20838.98,292818.11000000004,0.2382102445582001,69752.27
Individual,2019,2019-12-05,Investment,Education Expenses,OH,628578.06,156314.46,472263.6000000001,0.33006086180895156,155875.73
Individual,2022,2022-06-29,Capital Gains,Business Expenses,MI,476260.41,89747.25,386513.16,0.29760400960150835,115027.87
Trust,2023,2023-02-25,Capital Gains,Business Expenses,NY,627496.18,41612.27,585883.91,0.15340103902181554,89875.2
Trust,2022,2022-04-19,Salary,Education Expenses,PA,448302.21,45640.17,402662.04000000004,0.1741166052386451,70110.15
Partnership,2022,2022-12-06,Investment,Business Expenses,PA,776939.56,4353.17,772586.39,0.33527781224528563,259031.07
Partnership,2023,2023-07-31,Capital Gains,Mortgage Interest,NC,331961.99,28234.24,303727.75,0.22991635304601854,69831.98
Individual,2020,2020-02-14,Rental,Medical Expenses,IL,869712.02,239068.45,630643.5700000001,0.3580124312914552,225778.24
Non-Profit,2019,2019-03-24,Rental,Education Expenses,NY,649841.35,150666.48,499174.87,0.10015968900612622,49997.2
Non-Profit,2019,2019-12-28,Capital Gains,Mortgage Interest,PA,320300.46,57741.97,262558.49,0.24438189981653982,64164.54
Trust,2022,2022-11-28,Salary,Education Expenses,TX,822601.61,164315.85,658285.76,0.13380171260480403,88079.76
Trust,2021,2021-08-09,Capital Gains,Medical Expenses,IL,712562.27,200439.93,512122.34,0.16577209130339313,84895.59
Corporation,2019,2019-08-24,Capital Gains,Education Expenses,TX,322817.45,37602.98,285214.47000000003,0.16782873897364753,47867.18
Individual,2020,2020-09-11,Salary,Education Expenses,NY,394257.22,90311.09,303946.13,0.36763630981953577,111741.63
Partnership,2021,2021-06-06,Rental,Charitable Contributions,NC,880759.99,70533.15,810226.84,0.12564094561985686,101797.67
Non-Profit,2023,2023-06-08,Rental,Mortgage Interest,FL,59581.73,17127.06,42454.67,0.176494467566719,7493.01
Partnership,2019,2019-05-30,Salary,Charitable Contributions,FL,674317.17,38994.44,635322.73,0.22736668917829567,144451.23
Non-Profit,2021,2021-01-06,Capital Gains,Mortgage Interest,CA,675789.87,53694.24,622095.63,0.326405734132296,203055.58
Non-Profit,2022,2022-01-08,Royalties,Business Expenses,NY,51344.06,12734.8,38609.259999999995,0.28315619397059877,10932.45
Non-Profit,2021,2021-09-16,Salary,Business Expenses,FL,940953.92,156460.12,784493.8,0.19083949456761554,149712.4
Corporation,2019,2019-04-12,Investment,Education Expenses,NC,571116.95,125454.77,445662.17999999993,0.10480169451957555,46706.15
Non-Profit,2022,2022-02-13,Capital Gains,Medical Expenses,IL,588849.69,93722.23,495127.45999999996,0.27380546095984315,135568.6
Corporation,2019,2019-12-29,Rental,Medical Expenses,CA,157305.86,37830.37,119475.48999999999,0.13498841287249494,16127.81
Partnership,2023,2023-01-14,Business Income,Charitable Contributions,FL,690564.18,49168.89,641395.29,0.18376577326710705,117866.5
Non-Profit,2023,2023-06-03,Rental,Mortgage Interest,IL,42141.36,3647.0,38494.36,0.33355333732235537,12839.92
Partnership,2023,2023-08-24,Royalties,Charitable Contributions,IL,246773.6,69916.7,176856.90000000002,0.3517765443980656,62214.11
Trust,2021,2021-09-27,Salary,Education Expenses,CA,435198.67,111695.48,323503.19,0.26885927340051674,86976.83
Non-Profit,2019,2019-05-22,Business Income,Mortgage Interest,PA,954291.12,117755.87,836535.25,0.17587074538005676,147122.08
Trust,2020,2020-12-25,Royalties,Education Expenses,OH,408721.22,120564.26,288156.95999999996,0.20888693157441857,60192.22
Non-Profit,2019,2019-05-13,Rental,Education Expenses,FL,740497.84,160070.58,580427.26,0.13057365162235182,75788.51
Partnership,2022,2022-10-04,Salary,Education Expenses,GA,585717.98,69828.49,515889.49,0.17429558147244043,89917.26
Corporation,2022,2022-09-02,Investment,Mortgage Interest,NC,689250.82,92693.28,596557.5399999999,0.202144386558233,120590.76
Individual,2022,2022-02-05,Rental,Charitable Contributions,NC,642271.35,133753.31,508518.04,0.190165659514056,96702.67
Partnership,2023,2023-08-19,Business Income,Business Expenses,PA,131344.06,5088.34,126255.72,0.3482831826396383,43972.74
Trust,2019,2019-06-21,Investment,Medical Expenses,FL,60694.85,12643.41,48051.44,0.14627576974750567,7028.76
Non-Profit,2020,2020-08-31,Capital Gains,Charitable Contributions,IL,599647.01,77028.71,522618.3,0.2963455403413652,154875.6
Non-Profit,2020,2020-10-22,Capital Gains,Education Expenses,NC,251152.6,64315.2,186837.40000000002,0.21758915396212397,40653.79
Partnership,2019,2019-01-23,Salary,Education Expenses,IL,895281.11,215212.64,680068.47,0.3375138551607214,229532.53
Trust,2020,2020-03-29,Royalties,Education Expenses,NC,288429.55,48812.44,239617.11,0.3641212155176974,87249.67
Non-Profit,2023,2023-04-25,Rental,Charitable Contributions,OH,764589.79,189367.65,575222.14,0.157689744762822,90706.63
Trust,2023,2023-01-18,Capital Gains,Charitable Contributions,TX,651276.95,60584.44,590692.51,0.30366754945688346,179374.15
Individual,2020,2020-07-03,Capital Gains,Business Expenses,IL,443076.24,70852.77,372223.47,0.1976110696333061,73555.48
Non-Profit,2022,2022-12-17,Capital Gains,Charitable Contributions,NY,481059.74,130698.11,350361.63,0.31730427100741293,111171.24
Trust,2021,2021-08-11,Royalties,Mortgage Interest,MI,81714.28,3787.26,77927.02,0.3410166922114428,26574.41
Individual,2022,2022-05-05,Investment,Charitable Contributions,FL,255755.08,64265.36,191489.71999999997,0.3549752281041333,67974.11
Trust,2020,2020-01-09,Investment,Medical Expenses,FL,56276.08,10176.16,46099.92,0.14163940910477055,6529.57
Corporation,2019,2019-06-29,Salary,Medical Expenses,TX,218996.63,19854.57,199142.06,0.2663285573616725,53037.22
Trust,2021,2021-12-21,Rental,Mortgage Interest,MI,998852.78,203748.16,795104.62,0.33555996482743733,266805.28
Non-Profit,2023,2023-10-29,Capital Gains,Education Expenses,FL,727372.79,113354.53,614018.26,0.32500044374596926,199556.21
Partnership,2022,2022-06-16,Salary,Business Expenses,MI,404416.06,115450.12,288965.94,0.3195742876690353,92346.08
Corporation,2022,2022-05-21,Rental,Mortgage Interest,FL,72141.45,20817.72,51323.729999999996,0.30298955545788653,15550.55
Non-Profit,2023,2023-11-16,Salary,Charitable Contributions,MI,738685.22,165615.57,573069.6499999999,0.2872755139220069,164628.88
Individual,2020,2020-06-20,Rental,Charitable Contributions,FL,284217.04,12548.35,271668.69,0.1853391750374252,50350.85
Corporation,2019,2019-09-19,Royalties,Charitable Contributions,NY,393408.83,32323.8,361085.03,0.3263993336361687,117857.91
Non-Profit,2019,2019-06-24,Investment,Education Expenses,IL,675670.43,101730.65,573939.78,0.1885037064962892,108189.78
